"tipo_mueble","nivel","material","unidad","cantidad","notas","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Tapacanto - ABS Egger","metro","10","Medida 2×23mm","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Colgador Alacena - F-10","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","4","Tornillo 16mm - Melamina T10","unidad","32","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Placa Rauvisio - Brilliant","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","Interior","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Tapacanto - ABS PerfectSense","metro","10","Medida 1×23mm","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Bisagra - Codo 0 C.Suave","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Colgador Alacena - F-10","unidad","2","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Soporte Estante - 5/5","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Tornillo 50mm - Melamina T10","unidad","16","","","","","","","","","","","","","","","","","","","","",""
"Alacena 2 Puertas","5","Tornillo 16mm - Melamina T10","unidad","32","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Placa MDF 18mm - * Nivel 2 Blanco","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Fondo MDF - Blanco Absoluto Soft","placa","1","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Tapacanto - PVC Blanco","metro","8","Medida 22×0,8mm","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Bisagra - Codo 0 Común","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Pata - PVC Reg. 70-100","unidad","4","","","","","","","","","","","","","","","","","","","","",""
"Bajo Mesada 2 Puertas","2","Zócalo 3m - 100mm","metro","1","","","","","","","","","","","","","","","","","","","","",""
