"STOCK CONSOLIDADO — MUEBLERÍA FONTANA Hoja Origen ▼ HOJA: MADERAS ▼ EGGER MDF 18mm — Nacional","Sección ","Producto ","Categoría ","Color / Variante ","Marca ","Medida ","Código ","Precio Unit. ","Stock Actual ","Stock Mín. ","Precio Total ","Reponer ","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST10 Medio","Chromix Bronce","Egger"," 1.83x2.60m "," EGG-029 ","$136.515","7","5","$955.605","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST10 Medio","Concreto Cetalú Blanco","Egger"," 1.83x2.60m "," EGG-030 ","$136.515","12","6","$1.638.180","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST12 Medio","Roble Sorano Negro Martín","Egger"," 1.83x2.60m "," EGG-031 ","$136.515","9","5","$1.228.635","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST20 Medio","Metallic Gris Platino","Egger"," 1.83x2.60m "," EGG-032 ","$136.515","4","5","$546.060","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST22 Medio","Whitewood","Egger"," 1.83x2.60m "," EGG-033 ","$136.515","14","8","$1.911.210","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST22 Medio","Graphitewood","Egger"," 1.83x2.60m "," EGG-034 ","$136.515","11","6","$1.501.665","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST22 Medio","Feelwood Champán","Egger"," 1.83x2.60m "," EGG-035 ","$136.515","3","5","$409.545","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST9 Premium","Piedra Grigia Negro","Egger"," 1.83x2.60m "," EGG-036 ","$198.616","5","3","$993.080","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST10 Premium","Nogal del Pacífico Natural","Egger"," 1.83x2.60m "," EGG-037 ","$198.616","4","3","$794.464","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST10 Premium","Roble Whiteriver Beige Arena","Egger"," 1.83x2.60m "," EGG-038 ","$198.616","6","3","$1.191.696","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST22 Premium","Pino Aland Blanco","Egger"," 1.83x2.60m "," EGG-039 ","$198.616","8","4","$1.588.928","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19 Premium","Nogal Lincoln","Egger"," 1.83x2.60m "," EGG-040 ","$198.616","3","3","$595.848","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19 Premium","Rabinia Branson Marrón Natural","Egger"," 1.83x2.60m "," EGG-041 ","$198.616","5","3","$993.080","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19 Premium","Roble Vicenza Gris","Egger"," 1.83x2.60m "," EGG-042 ","$198.616","7","3","$1.390.312","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST19 Premium","Roble Kaiserberg","Egger"," 1.83x2.60m "," EGG-043 ","$198.616","4","3","$794.464","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST20 Premium","Bronce Cepillado","Egger"," 1.83x2.60m "," EGG-044 ","$198.616","2","3","$397.232","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST20 Premium","Metallic Azul Índigo","Egger"," 1.83x2.60m "," EGG-045 ","$198.616","3","3","$595.848","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST20 Premium","Metal Cepillado Bronce","Egger"," 1.83x2.60m "," EGG-046 ","$198.616","6","3","$1.191.696","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST20 Premium","Metal Cepillado Oro","Egger"," 1.83x2.60m "," EGG-047 ","$198.616","5","3","$993.080","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST20 Premium","Metallic Inox","Egger"," 1.83x2.60m "," EGG-048 ","$198.616","4","3","$794.464","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","ST20 Premium","Negro","Egger"," 1.83x2.60m "," EGG-049 ","$198.616","9","4","$1.787.544","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","Eurodekor Import.","Alerce Blanco","Egger"," 2.07x2.80m "," EGG-050 ","$235.681","6","3","$1.414.086","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","Eurodekor Import.","Alerce Marrón","Egger"," 2.07x2.80m "," EGG-051 ","$235.681","4","3","$942.724","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","Eurodekor Import.","Alerce Antracita","Egger"," 2.07x2.80m "," EGG-052 ","$235.681","5","3","$1.178.405","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","Eurodekor Import.","Roble Casella Marrón","Egger"," 2.07x2.80m "," EGG-053 ","$235.681","7","4","$1.649.767","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","Eurodekor Import.","Roble Casella Marrón Oscuro","Egger"," 2.07x2.80m "," EGG-054 ","$235.681","5","3","$1.178.405","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","Eurodekor Import.","Roble Halifax Natural","Egger"," 2.07x2.80m "," EGG-055 ","$235.681","8","4","$1.885.448","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Nacional","Placa MDF 18mm","Eurodekor Import.","Roble Halifax Tabaco","Egger"," 2.07x2.80m "," EGG-056 ","$235.681","6","4","$1.414.086","No","","","","","","","","","","","","",""
"EGGER MDF 18mm — Premium","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Premium","Placa MDF 18mm","PerfectSense Gloss","Gris Arcilla Gloss","Egger"," 2.07x2.80m "," EGG-057 ","$478.050","2","2","$956.100","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Premium","Placa MDF 18mm","PerfectSense Gloss","Gris Macadán Gloss","Egger"," 2.07x2.80m "," EGG-058 ","$478.050","3","2","$1.434.150","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Premium","Placa MDF 18mm","PerfectSense Gloss","Negro Gloss","Egger"," 2.07x2.80m "," EGG-059 ","$478.050","4","2","$1.912.200","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Premium","Placa MDF 18mm","PerfectSense Gloss","Rojo Cereza Gloss","Egger"," 2.07x2.80m "," EGG-060 ","$478.050","1","2","$478.050","Sí","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Premium","Placa MDF 18mm","PerfectSense Mate","Gris Arcilla Mate","Egger"," 2.07x2.80m "," EGG-061 ","$428.896","3","2","$1.286.688","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Premium","Placa MDF 18mm","PerfectSense Mate","Gris Macadán Mate","Egger"," 2.07x2.80m "," EGG-062 ","$428.896","4","2","$1.715.584","No","","","","","","","","","","","","",""
"Maderas","EGGER MDF 18mm — Premium","Placa MDF 18mm","PerfectSense Mate","Negro Mate","Egger"," 2.07x2.80m "," EGG-063 ","$428.896","5","2","$2.144.480","No","","","","","","","","","","","","",""
"FAPLAC MDF 18mm","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Blanco 1 Textura","Blanco 1","Faplac"," 1.83x2.75m "," FAP-001 ","$104.351","35","15","$3.652.285","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Blanco Natural","Blanco Natural","Faplac"," 1.83x2.75m "," FAP-002 ","$115.062","28","15","$3.221.736","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Línea Joven","Amarillo 192","Faplac"," 1.83x2.75m "," FAP-003 ","$115.062","8","5","$920.496","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Línea Joven","Lila 190","Faplac"," 1.83x2.75m "," FAP-004 ","$115.062","6","5","$690.372","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Línea Joven","Verde 191","Faplac"," 1.83x2.75m "," FAP-005 ","$115.062","7","5","$805.434","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Lisos Claros","Almendra","Faplac"," 1.83x2.75m "," FAP-006 ","$115.062","15","8","$1.725.930","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Lisos Claros","Cenizas 105","Faplac"," 1.83x2.75m "," FAP-007 ","$115.062","18","8","$2.071.116","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Lisos Oscuros","Aluminio 202","Faplac"," 1.83x2.75m "," FAP-008 ","$115.062","14","8","$1.610.868","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Lisos Oscuros","Azul Lago 170","Faplac"," 1.83x2.75m "," FAP-009 ","$115.062","9","6","$1.035.558","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Lisos Oscuros","Grafito 107","Faplac"," 1.83x2.75m "," FAP-010 ","$115.062","22","10","$2.531.364","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Lisos Oscuros","Gris Humo 108","Faplac"," 1.83x2.75m "," FAP-011 ","$115.062","16","8","$1.840.992","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Lisos Oscuros","Negro Profundo 303","Faplac"," 1.83x2.75m "," FAP-012 ","$115.062","30","12","$3.451.860","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Lisos Oscuros","Rojo 040","Faplac"," 1.83x2.75m "," FAP-013 ","$115.062","10","6","$1.150.620","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Metallic","Cobre 206","Faplac"," 1.83x2.75m "," FAP-014 ","$115.062","5","4","$575.310","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Metallic","Titanio 207","Faplac"," 1.83x2.75m "," FAP-015 ","$115.062","8","5","$920.496","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Maderas Wood-Text","Abedul 085","Faplac"," 1.83x2.75m "," FAP-016 ","$122.500","12","6","$1.470.000","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Maderas Wood-Text","Cedro 064","Faplac"," 1.83x2.75m "," FAP-017 ","$122.500","15","6","$1.837.500","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Maderas Wood-Text","Cerezo 068","Faplac"," 1.83x2.75m "," FAP-018 ","$122.500","10","6","$1.225.000","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Maderas Wood-Text","Ébano Negro 016","Faplac"," 1.83x2.75m "," FAP-019 ","$122.500","14","6","$1.715.000","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Maderas Wood-Text","Haya 063","Faplac"," 1.83x2.75m "," FAP-020 ","$122.500","11","6","$1.347.500","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Maderas Wood-Text","Maple 073","Faplac"," 1.83x2.75m "," FAP-021 ","$122.500","8","6","$980.000","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Maderas Wood-Text","Peral 059","Faplac"," 1.83x2.75m "," FAP-022 ","$122.500","9","6","$1.102.500","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Maderas Wood-Text","Roble Americano 03","Faplac"," 1.83x2.75m "," FAP-023 ","$122.500","25","12","$3.062.500","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Maderas Wood-Text","Roble Dakar 031","Faplac"," 1.83x2.75m "," FAP-024 ","$122.500","20","10","$2.450.000","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Maderas Wood-Text","Roble Español 016","Faplac"," 1.83x2.75m "," FAP-025 ","$122.500","16","8","$1.960.000","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Maderas Wood-Text","Tangerica Tabaco 074","Faplac"," 1.83x2.75m "," FAP-026 ","$122.500","13","6","$1.592.500","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Cajú 065","Faplac"," 1.83x2.75m "," FAP-027 ","$177.096","6","4","$1.062.576","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Carvalho Mezzo 042","Faplac"," 1.83x2.75m "," FAP-028 ","$177.096","8","4","$1.416.768","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Carvalho Asserado 161","Faplac"," 1.83x2.75m "," FAP-029 ","$177.096","7","4","$1.239.672","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Gaudí 027","Faplac"," 1.83x2.75m "," FAP-030 ","$177.096","9","4","$1.593.864","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Linosa Cinza 048","Faplac"," 1.83x2.75m "," FAP-031 ","$177.096","5","4","$885.480","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Mont Blanc 072","Faplac"," 1.83x2.75m "," FAP-032 ","$177.096","11","5","$1.948.056","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Noce Milano 054","Faplac"," 1.83x2.75m "," FAP-033 ","$177.096","10","5","$1.770.960","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Nogal Terracota 043","Faplac"," 1.83x2.75m "," FAP-034 ","$177.096","8","4","$1.416.768","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Teka Antico 047","Faplac"," 1.83x2.75m "," FAP-035 ","$177.096","6","4","$1.062.576","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Terracum 043","Faplac"," 1.83x2.75m "," FAP-036 ","$177.096","4","4","$708.384","Sí","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Vanezza 160","Faplac"," 1.83x2.75m "," FAP-037 ","$177.096","7","4","$1.239.672","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Seda Azurra 118","Faplac"," 1.83x2.75m "," FAP-038 ","$177.096","3","4","$531.288","Sí","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Seda Giorno 150","Faplac"," 1.83x2.75m "," FAP-039 ","$177.096","5","4","$885.480","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nature","Seda Notte 151","Faplac"," 1.83x2.75m "," FAP-040 ","$177.096","6","4","$1.062.576","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Hilados Nature","Lino Chiaro 153","Faplac"," 1.83x2.75m "," FAP-041 ","$177.096","8","4","$1.416.768","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Hilados Nature","Lino Negro 303","Faplac"," 1.83x2.75m "," FAP-042 ","$177.096","10","4","$1.770.960","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Hilados Nature","Lino Terra 152","Faplac"," 1.83x2.75m "," FAP-043 ","$177.096","7","4","$1.239.672","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nórdica","Báltico 097","Faplac"," 1.83x2.75m "," FAP-044 ","$177.096","9","4","$1.593.864","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nórdica","Roble Escandinavo 098","Faplac"," 1.83x2.75m "," FAP-045 ","$177.096","12","6","$2.125.152","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Nórdica","Helsinki 089","Faplac"," 1.83x2.75m "," FAP-046 ","$177.096","8","4","$1.416.768","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Urban Concept","Ambience 058","Faplac"," 1.83x2.75m "," FAP-047 ","$177.096","5","4","$885.480","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Urban Concept","Colisseo 119","Faplac"," 1.83x2.75m "," FAP-048 ","$177.096","6","4","$1.062.576","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Urban Concept","Home 025","Faplac"," 1.83x2.75m "," FAP-049 ","$177.096","9","4","$1.593.864","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Urban Concept","Mosco 029","Faplac"," 1.83x2.75m "," FAP-050 ","$177.096","7","4","$1.239.672","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Urban Concept","Praga 028","Faplac"," 1.83x2.75m "," FAP-051 ","$177.096","4","4","$708.384","Sí","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Urban Concept","Street 024","Faplac"," 1.83x2.75m "," FAP-052 ","$177.096","8","4","$1.416.768","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Urban Concept","Vienna 026","Faplac"," 1.83x2.75m "," FAP-053 ","$177.096","6","4","$1.062.576","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Étnica","Amaranto 143","Faplac"," 1.83x2.75m "," FAP-054 ","$177.096","3","3","$531.288","Sí","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Étnica","Camellia 140","Faplac"," 1.83x2.75m "," FAP-055 ","$177.096","5","3","$885.480","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Étnica","Marlet 141","Faplac"," 1.83x2.75m "," FAP-056 ","$177.096","4","3","$708.384","No","","","","","","","","","","","","",""
"Maderas","FAPLAC MDF 18mm","Placa MDF 18mm","Étnica","Pinot Grin 120","Faplac"," 1.83x2.75m "," FAP-057 ","$177.096","2","3","$354.192","Sí","","","","","","","","","","","","",""
